mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.514,0.7190000000000001,1.54,0.545,0.938,0.032,3.055,50.529,0.0
0.585,0.748,1.058,0.331,0.727,0.059,2.175,47.198,0.0
0.62,0.809,0.848,0.262,0.5589999999999999,0.061,1.73,47.572,0.0
0.613,0.828,0.77,0.223,0.5,0.05,1.544,50.067,0.0
0.618,0.852,0.682,0.195,0.423,0.048,1.348,50.055,0.0
0.628,0.8740000000000001,0.614,0.18,0.371,0.046,1.212,50.841,0.0
0.627,0.8859999999999999,0.5479999999999999,0.16699999999999998,0.336,0.046,1.097,49.871,0.0
0.624,0.902,0.487,0.153,0.284,0.044,0.968,50.654,0.0
0.627,0.901,0.423,0.146,0.29100000000000004,0.041,0.901,48.799,0.0
0.619,0.927,0.453,0.141,0.21,0.043,0.846,50.8,0.0
0.637,0.919,0.502,0.131,0.227,0.042,0.902,47.014,0.0
0.624,0.942,0.4320000000000001,0.121,0.179,0.038,0.77,48.246,0.0
0.638,0.937,0.3670000000000001,0.115,0.193,0.038,0.7140000000000001,51.18,0.0
0.626,0.944,0.339,0.108,0.158,0.039,0.644,51.32899999999999,0.0
0.626,0.882,0.302,0.115,0.38,0.071,0.8690000000000001,52.687,0.0
0.63,0.9490000000000001,0.313,0.10800000000000001,0.16699999999999998,0.059000000000000004,0.648,53.157,0.0
0.619,0.9570000000000001,0.264,0.105,0.141,0.049,0.5589999999999999,50.683,0.0
0.632,0.9570000000000001,0.298,0.10400000000000001,0.138,0.040999999999999995,0.5820000000000001,48.853,0.0
0.615,0.966,0.249,0.096,0.11800000000000001,0.039,0.502,51.73,0.0
0.603,0.966,0.282,0.09300000000000001,0.111,0.035,0.521,50.131,0.0
0.613,0.968,0.24,0.08800000000000001,0.10099999999999999,0.031,0.46,51.715,0.0
0.613,0.982,0.22399999999999998,0.086,0.066,0.033,0.408,50.708999999999996,0.0
0.607,0.976,0.212,0.084,0.08,0.033,0.409,54.61600000000001,0.0
0.612,0.978,0.228,0.083,0.076,0.024,0.41100000000000003,51.021,0.0
0.621,0.973,0.223,0.079,0.094,0.026000000000000002,0.42200000000000004,45.45399999999999,0.0
0.602,0.983,0.172,0.079,0.062,0.022000000000000002,0.335,48.347,0.0
0.613,0.983,0.20199999999999999,0.076,0.055,0.023,0.35600000000000004,48.25899999999999,0.0
0.608,0.922,0.185,0.08,0.253,0.064,0.582,51.761,0.0
0.609,0.976,0.168,0.078,0.083,0.045,0.374,52.1,0.0
0.624,0.976,0.164,0.077,0.079,0.035,0.355,47.814,0.0
0.605,0.98,0.181,0.074,0.066,0.035,0.355,52.307,0.0
0.609,0.984,0.178,0.073,0.051,0.029,0.331,51.485,0.0
0.6,0.984,0.177,0.071,0.055,0.025,0.328,54.524,0.0
0.589,0.987,0.186,0.066,0.047,0.025,0.325,54.967,0.0
0.596,0.989,0.167,0.06,0.036,0.022,0.286,50.855,0.0
0.606,0.987,0.127,0.058,0.044,0.021,0.25,49.71,0.0
0.58,0.991,0.151,0.062,0.034,0.02,0.266,52.685,0.0
0.606,0.993,0.145,0.057,0.023,0.017,0.241,50.715,0.0
0.606,0.993,0.124,0.056,0.028,0.018,0.225,50.919,0.0
