mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.46,0.73,2.519,0.5760000000000001,1.009,0.019,4.123,29.764,2.0
0.6459999999999999,0.7340000000000001,0.938,0.402,0.7959999999999999,0.044,2.1790000000000003,16.27,2.0
0.636,0.782,0.8109999999999999,0.374,0.645,0.052000000000000005,1.882,17.801,2.0
0.616,0.8190000000000001,0.728,0.319,0.531,0.037000000000000005,1.615,18.383,2.0
0.632,0.836,0.67,0.314,0.491,0.036000000000000004,1.51,17.373,2.0
0.616,0.86,0.5539999999999999,0.271,0.44,0.03,1.294,18.018,2.0
0.619,0.846,0.602,0.256,0.472,0.036000000000000004,1.366,18.777,2.0
0.603,0.8759999999999999,0.494,0.25,0.3720000000000001,0.035,1.15,18.41,2.0
0.674,0.868,0.498,0.225,0.38,0.037000000000000005,1.141,18.229,2.0
0.621,0.8859999999999999,0.371,0.234,0.324,0.036000000000000004,0.965,16.809,2.0
0.638,0.89,0.404,0.21,0.339,0.034,0.987,19.662,2.0
0.616,0.897,0.405,0.203,0.303,0.037000000000000005,0.948,18.975,2.0
0.622,0.91,0.407,0.201,0.262,0.033,0.904,18.66,2.0
0.65,0.893,0.318,0.203,0.313,0.039,0.872,18.424,2.0
0.594,0.917,0.33,0.193,0.263,0.03,0.815,19.06,2.0
0.627,0.838,0.32299999999999995,0.188,0.48200000000000004,0.04,1.033,18.732,2.0
0.631,0.889,0.317,0.188,0.335,0.044000000000000004,0.884,21.166999999999998,2.0
0.61,0.89,0.287,0.17300000000000001,0.32899999999999996,0.044000000000000004,0.833,21.403000000000002,2.0
0.627,0.9079999999999999,0.302,0.174,0.27,0.040999999999999995,0.787,22.111,2.0
0.629,0.9079999999999999,0.305,0.174,0.254,0.048,0.78,18.893,2.0
0.611,0.924,0.263,0.168,0.213,0.035,0.679,19.043,2.0
0.618,0.9359999999999999,0.321,0.153,0.187,0.038,0.6990000000000001,19.738,2.0
0.586,0.934,0.311,0.171,0.2,0.032,0.713,17.923,2.0
0.622,0.932,0.228,0.153,0.185,0.039,0.604,18.197,2.0
